"Code","Panel","X","Y","Year","meanC","Bryophyte_Cover","Invasive_Cover","Cover_Tolerant","vmmi","vmmi_rating","vmmi_rating_orig","FWS_Class_Code","HGM_Class","mean_wet","site_type"
"R-17",2,5593017,4914819,2023,4.51515151515152,57,0,89.2,58.7093195391192,"Fair","Fair","PSS","Depression",-3.78787878787879,"ACAD RAM"
"R-18",2,556102.817835,4914279.79113,2013,6.02777777777778,99,0,3,93.2774195508598,"Good","Good","PSS","Flats",-3.05714285714286,"ACAD RAM"
"R-18",2,556102.817835,4914279.79113,2018,5.73809523809524,99,0,3,91.4816401385482,"Good","Good","PSS","Flats",-2.6375,"ACAD RAM"
"R-18",2,556102.817835,4914279.79113,2023,5.825,99,0,7,91.3467400139977,"Good","Good","PSS","Flats",-2.82051282051282,"ACAD RAM"
"R-19",2,563192.502697,4912852.23499,2013,3.96521739130435,0,0,121.3,35.4008114206992,"Poor","Poor","PEM","Riverine",-4.3,"ACAD RAM"
"R-19",2,563192.502697,4912852.23499,2018,4.13392857142857,0,0.1,78.3,43.6553761425842,"Fair","Poor","PEM","Riverine",-4.11111111111111,"ACAD RAM"
"R-19",2,563192.502697,4912852.23499,2023,4.56521739130435,0,0,64.2,48.7364133899853,"Fair","Poor","PEM","Riverine",-4.39130434782609,"ACAD RAM"
"R-20",2,551902.915806,4900927.33181,2013,4.7,97,0.1,57.3,75.3654526534665,"Good","Good","PFO","Slope",-1.25641025641026,"ACAD RAM"
"R-20",2,551902.915806,4900927.33181,2018,4.71052631578947,97,0.1,65.1,74.1171204431294,"Good","Good","PFO","Slope",-0.837837837837838,"ACAD RAM"
"R-20",2,551902.915806,4900927.33181,2023,4.46153846153846,95,0.1,73.1,70.7178014677791,"Good","Good","PFO","Slope",-0.868421052631579,"ACAD RAM"
"R-21",3,551611,4902361,2014,3.89144736842105,20,0.1,99.5,43.6673766594384,"Fair","Poor","PSS","Depression",-2.43478260869565,"ACAD RAM"
"R-21",3,551611,4902361,2019,3.81084337349398,15,0.1,152,33.298922258864,"Poor","Poor","PSS","Depression",-2.08974358974359,"ACAD RAM"
"R-21",3,551611,4902361,2024,3.75185185185185,15,1,186.3,32.6374629968123,"Poor","Poor","PSS","Depression",-2.27,"ACAD RAM"
"R-22",3,549091,4909551,2014,4.55555555555556,60,0.1,43.2,67.4365321228703,"Good","Good","PFO","Slope",0,"ACAD RAM"
"R-22",3,549091,4909551,2019,4.55,80,0,41.1,72.8740456029543,"Good","Good","PFO","Slope",0.102564102564103,"ACAD RAM"
"R-22",3,549091,4909551,2024,4.59183673469388,75,0.1,52.3,69.9430011101829,"Good","Good","PFO","Slope",-0.145833333333333,"ACAD RAM"
"R-23",3,560497,4915640,2014,4.97777777777778,95,0.1,67.2,74.9116456216303,"Good","Good","PSS","Depression",-3.15909090909091,"ACAD RAM"
"R-23",3,560497,4915640,2019,5.16279069767442,98,0,94,72.3408945943419,"Good","Good","PSS","Depression",-3.18604651162791,"ACAD RAM"
"R-23",3,560497,4915640,2024,5,99,0.1,67,76.0950868436566,"Good","Good","PSS","Depression",-3,"ACAD RAM"
"R-24",3,555084,4898515,2014,5.26666666666667,95,0,77.1,75.0681236477321,"Good","Good","PSS","Depression",-2.5,"ACAD RAM"
"R-24",3,555084,4898515,2019,5.14285714285714,85,0,76,71.9431454410537,"Good","Good","PSS","Depression",-2.45918367346939,"ACAD RAM"
"R-24",3,555084,4898515,2024,5.2,60,0,85,64.424914142454,"Good","Fair","PSS","Depression",-2.52272727272727,"ACAD RAM"
"R-25",3,551971,4903428,2014,3.68189655172414,20,0.1,160.4,33.7709224563604,"Poor","Poor","PSS","Depression",-2.88235294117647,"ACAD RAM"
"R-25",3,551971,4903428,2019,4.01923076923077,20,0,202.1,35.8949633425321,"Poor","Poor","PSS","Depression",-2.60416666666667,"ACAD RAM"
"R-25",3,551971,4903428,2024,4.02222222222222,75,0.1,206.4,49.8655850446441,"Fair","Poor","PSS","Depression",-2.68181818181818,"ACAD RAM"
"R-26",3,556721,4908274,2014,4.58064516129032,50,0,69.3,60.6867505490576,"Fair","Fair","PFO","Slope",-1.1,"ACAD RAM"
"R-26",3,556721,4908274,2019,4.5,50,0,112.1,52.9789375504137,"Fair","Fair","PFO","Slope",-1.28787878787879,"ACAD RAM"
"R-26",3,556721,4908274,2024,4.50724637681159,62,0.1,123.2,54.1729215987593,"Fair","Fair","PFO","Slope",-0.925373134328358,"ACAD RAM"
"R-27",3,565180,4910307,2014,4.04651162790698,10,0,135.1,36.1234440948041,"Poor","Poor","PEM","Depression",-3.69767441860465,"ACAD RAM"
"R-27",3,565180,4910307,2019,3.92982456140351,2,0.1,165.1,30.730970738943,"Poor","Poor","PEM","Depression",-2.54545454545455,"ACAD RAM"
"R-27",3,565180,4910307,2024,4.03571428571429,12,0.1,173.1,33.9301111338929,"Poor","Poor","PEM","Depression",-3.0188679245283,"ACAD RAM"
"R-28",3,556329,4914323,2014,5.32352941176471,95,0,55.1,79.1256098512603,"Good","Good","PSS","Flats",-2.125,"ACAD RAM"
"R-28",3,556329,4914323,2019,5.26470588235294,95,0.1,61.1,77.7176417066536,"Good","Good","PSS","Flats",-1.78787878787879,"ACAD RAM"
"R-28",3,556329,4914323,2024,5.075,95,0.1,39,80.2634580471838,"Good","Good","PSS","Flats",-1.56410256410256,"ACAD RAM"
"R-29",3,549431,4910093,2014,4.36842105263158,95,0,117.3,62.7297620955152,"Good","Fair","PFO","Slope",-0.864864864864865,"ACAD RAM"
"R-29",3,549431,4910093,2019,4.32432432432432,95,0.1,128.1,60.6047265517915,"Fair","Fair","PFO","Slope",-1.30555555555556,"ACAD RAM"
"R-29",3,549431,4910093,2024,4.5,95,0,151.4,57.9456863514831,"Fair","Fair","PFO","Slope",-1.40540540540541,"ACAD RAM"
"R-30",3,560785,4914529,2014,4.11764705882353,75,0.1,234.3,50.4571359098762,"Fair","Poor","PFO","Slope",-1.22058823529412,"ACAD RAM"
"R-30",3,560785,4914529,2019,4.20634920634921,60,0.1,235.3,47.1929374464203,"Fair","Poor","PFO","Slope",-1.08196721311475,"ACAD RAM"
"R-30",3,560785,4914529,2024,4.25,70,0.1,250.2,50.006250685733,"Fair","Poor","PFO","Slope",-1.43243243243243,"ACAD RAM"
"R-31",4,558067,4912529,2015,4.26341463414634,10,0,10.2,58.5022738297424,"Fair","Fair","PEM","Riverine",-2.8,"ACAD RAM"
"R-31",4,558067,4912529,2020,4.05405405405405,12,0,3.4,58.858141581183,"Fair","Fair","PEM","Riverine",-2.45714285714286,"ACAD RAM"
"R-31",4,558067,4912529,2025,4.08333333333333,16,0,12,58.60842115632,"Fair","Fair","PEM","Riverine",-2.44117647058824,"ACAD RAM"
"R-32",4,529214,4878582,2015,4.84210526315789,95,0.1,43,78.1460795980971,"Good","Good","PEM","Depression",-2.23636363636364,"ACAD RAM"
"R-32",4,529214,4878582,2020,5.03389830508475,96,0,20,83.4955588087606,"Good","Good","PEM","Depression",-2.55172413793103,"ACAD RAM"
"R-32",4,529214,4878582,2025,4.89655172413793,96,0,14,83.654580567719,"Good","Good","PEM","Depression",-2.21052631578947,"ACAD RAM"
"R-33",4,560609,4915070,2015,4.87096774193548,60,0,0.2,76.6999221527114,"Good","Good","PEM","Depression",-3.83870967741935,"ACAD RAM"
"R-33",4,560609,4915070,2020,4.84375,90,0,2.2,83.7888462144322,"Good","Good","PEM","Depression",-3.84375,"ACAD RAM"
"R-33",4,560609,4915070,2025,4.89189189189189,12,0,10.1,62.9236694972074,"Good","Fair","PEM","Depression",-3.27027027027027,"ACAD RAM"
"R-34",4,565063,4910390,2015,3.82352941176471,5,0.1,221.1,30.8348483041503,"Poor","Poor","PEM","Depression",-2.875,"ACAD RAM"
"R-34",4,565063,4910390,2020,3.64705882352941,3,0.1,227.2,29.232341106983,"Poor","Poor","PEM","Depression",-2.53125,"ACAD RAM"
"R-34",4,565063,4910390,2025,3.59175,0.1,0.1,165,28.1520868398936,"Poor","Poor","PEM","Depression",-2.38235294117647,"ACAD RAM"
"R-35",4,556155,4914559,2015,5.38235294117647,95,0,20,85.4014023900526,"Good","Good","PSS","Flats",-1.75757575757576,"ACAD RAM"
"R-35",4,556155,4914559,2020,5.47222222222222,95,0,21,85.7901051630561,"Good","Good","PSS","Flats",-2.02857142857143,"ACAD RAM"
"R-35",4,556155,4914559,2025,5.52777777777778,98,0,15.1,87.8909261908623,"Good","Good","PSS","Flats",-1.94285714285714,"ACAD RAM"
"R-36",4,551406,4902513,2015,3.92647058823529,20,0.1,191,35.2870684416656,"Poor","Poor","PSS","Depression",-2.6969696969697,"ACAD RAM"
"R-36",4,551406,4902513,2020,4.02083333333333,50,0,200,43.533046868724,"Fair","Poor","PSS","Depression",-2.34285714285714,"ACAD RAM"
"R-36",4,551406,4902513,2025,3.9575,22,0.1,225.1,35.9879670341358,"Poor","Poor","PSS","Depression",-2.19736842105263,"ACAD RAM"
"R-37",4,556955,4908008,2015,3.89566265060241,50,0,230,42.7570976681973,"Fair","Poor","PFO","Depression",-1.59459459459459,"ACAD RAM"
"R-37",4,556955,4908008,2020,3.74125,50,0.1,215.1,41.767011159374,"Fair","Poor","PFO","Depression",-1.20779220779221,"ACAD RAM"
"R-37",4,556955,4908008,2025,3.9620253164557,40,0.1,185.2,40.5929094691152,"Poor","Poor","PFO","Depression",-1.55263157894737,"ACAD RAM"
"R-38",4,553958,4907652,2015,4.37704918032787,70,0,118,56.3085721766701,"Fair","Fair","PFO","Riverine",-0.929824561403509,"ACAD RAM"
"R-38",4,553958,4907652,2020,4.35526315789474,75,0,110,58.792143882003,"Fair","Fair","PFO","Riverine",-0.878378378378378,"ACAD RAM"
"R-38",4,553958,4907652,2025,4.2,80,0,113,58.5957802577085,"Fair","Fair","PFO","Riverine",-1.2089552238806,"ACAD RAM"
"R-39",4,558574,4912925,2015,4.69303797468354,75,0,85,65.0962656971669,"Good","Fair","PFO","Depression",-2.4,"ACAD RAM"
"R-39",4,558574,4912925,2020,4.62365591397849,65,0,86.1,61.9381916800812,"Good","Fair","PFO","Depression",-2.21111111111111,"ACAD RAM"
"R-39",4,558574,4912925,2025,4.47684210526316,70,0,104,59.2849202035169,"Fair","Fair","PFO","Depression",-2.01111111111111,"ACAD RAM"
"R-40",4,562704,4906021,2015,4.188,75,0,149.3,51.1368044594486,"Fair","Poor","PSS","Riverine",-2.01388888888889,"ACAD RAM"
"R-40",4,562704,4906021,2020,4.05681818181818,80,0.1,205.1,51.351408029426,"Fair","Poor","PSS","Riverine",-1.77647058823529,"ACAD RAM"
"R-40",4,562704,4906021,2025,3.94736842105263,87,0,194,52.4856788694503,"Fair","Poor","PSS","Riverine",-2.10958904109589,"ACAD RAM"
"GIME03",-1,558085,4912280,2024,4.178703704,60,0,59,62.47238739,"Good","Fair","PEM","Depression",-3.04166666666667,"ACAD GILM"
"GIME03",-1,558085,4912280,2025,4.012096774,70,0,61.3,63.59494637,"Good","Fair","PEM","Depression",-2.79661016949153,"ACAD GILM"
"GIME07",-1,558056,4912311,2024,4.263157895,40,0,47,59.93139897,"Fair","Fair","PSS","Depression",-3.68571428571429,"ACAD GILM"
"GIME07",-1,558056,4912311,2025,4.306122449,50,0,38.8,64.12140772,"Good","Fair","PSS","Depression",-3.39130434782609,"ACAD GILM"
"GRME01",-1,563119,4912595,2024,4.192307692,30,0,88.2,50.01104342,"Fair","Poor","PEM","Riverine",-3.34615384615385,"ACAD GRME"
"GRME01",-1,563119,4912595,2025,4.065833333,15,0.1,67.8,48.81560861,"Fair","Poor","PEM","Riverine",-2.93939393939394,"ACAD GRME"
"GRME02",-1,563071,4913162,2024,3.748214286,0,1,86.2,39.63809329,"Poor","Poor","PEM","Depression",-3.34615384615385,"ACAD GRME"
"GRME02",-1,563071,4913162,2025,3.414242424,0.1,2,163.6,26.42730549,"Poor","Poor","PEM","Depression",-3.3125,"ACAD GRME"
"GRME03",-1,562824,4912845,2024,3.839215686,15,0.1,115.2,39.42821431,"Poor","Poor","PFO","Slope",-0.88,"ACAD GRME"
"GRME03",-1,562824,4912845,2025,3.877192982,25,4,129.2,38.5669974,"Poor","Poor","PFO","Slope",-0.563636363636364,"ACAD GRME"
"GRME04",-1,562910,4912898,2024,3.979166667,35,0.1,115.2,45.38122116,"Fair","Poor","PFO","Depression",-1.40425531914894,"ACAD GRME"
"GRME04",-1,562910,4912898,2025,3.866666667,65,0.1,152.1,46.35855976,"Fair","Poor","PFO","Depression",-1.44444444444444,"ACAD GRME"
"GRME05",-1,563200,4912819,2024,4.134615385,0,0,15.1,54.33591275,"Fair","Fair","PEM","Riverine",-4.60869565217391,"ACAD GRME"
"GRME05",-1,563200,4912819,2025,4.23,0,0,28.4,52.6873814,"Fair","Poor","PEM","Riverine",-4.29166666666667,"ACAD GRME"
"GRME06",-1,563011,4912923,2024,3.914285714,55,5,145.3,43.38508661,"Fair","Poor","PFO","Depression",-2.36363636363636,"ACAD GRME"
"GRME06",-1,563011,4912923,2025,4.028571429,60,5,105.2,52.11809699,"Fair","Poor","PFO","Depression",-2.88571428571429,"ACAD GRME"
"GRME07",-1,563061,4912558,2024,4.017857143,60,0.1,103,54.03244281,"Fair","Fair","PSS","Depression",-2.75,"ACAD GRME"
"GRME07",-1,563061,4912558,2025,3.684782609,45,0.1,82.8,51.55544776,"Fair","Poor","PSS","Depression",-2.18181818181818,"ACAD GRME"
"GRME08",-1,563371,4912896,2024,3.2071875,0.1,0.1,32.5,45.64892463,"Fair","Poor","PSS","Depression",-3.13793103448276,"ACAD GRME"
"GRME08",-1,563371,4912896,2025,3.76627907,0,0.1,45.7,46.86638616,"Fair","Poor","PSS","Depression",-3.04761904761905,"ACAD GRME"
"GRME09",-1,562963,4912763,2024,3.788478261,35,3,119.1,42.58931125,"Fair","Poor","PFO","Depression",-1.33333333333333,"ACAD GRME"
"GRME09",-1,562963,4912763,2025,3.978723404,17,2,105.7,41.77707553,"Fair","Poor","PFO","Depression",-1.28888888888889,"ACAD GRME"
"GRME10",-1,563256,4912949,2024,4,0,0,77,43.07692927,"Fair","Poor","PEM","Riverine",-4.3,"ACAD GRME"
"GRME10",-1,563256,4912949,2025,4.207894737,0,0,22.3,53.57763979,"Fair","Fair","PEM","Riverine",-4.22222222222222,"ACAD GRME"
"DUCK",0,549458.732042565,4907554.80596651,2011,5.075,98.6,0,26.94,83.242674738704,"Good","Good","PSS","Depression",-3.575,"ACAD Sent."
"DUCK",0,549458.732042565,4907554.80596651,2016,5.45,40,0,14.06,72.836130439428,"Good","Good","PSS","Depression",-3.8,"ACAD Sent."
"DUCK",0,549458.732042565,4907554.80596651,2021,5.25641025641026,48,0,9.22,74.485311503859,"Good","Good","PSS","Depression",-3.33333333333333,"ACAD Sent."
"WMTN",0,550433.597335334,4903783.29397535,2011,4.84782608695652,96.4,0,77.38,72.7804647351192,"Good","Good","PFO","Slope",-1.35555555555556,"ACAD Sent."
"WMTN",0,550433.597335334,4903783.29397535,2021,4.77083333333333,98.4,0.02,67.12,74.5330186061391,"Good","Good","PFO","Slope",-1.40425531914894,"ACAD Sent."
"WMTN",0,550433.597335334,4903783.29397535,2016,4.61224489795918,97.6,0.02,74.98,72.0227973658364,"Good","Good","PFO","Slope",-1.5,"ACAD Sent."
"BIGH",0,554268.178747096,4898327.67895963,2011,5.84848484848485,96.6,0,1.88,91.7493934835136,"Good","Good","PSS","Flats",-3.28125,"ACAD Sent."
"BIGH",0,554268.178747096,4898327.67895963,2021,5.87179487179487,97.6,0,2.52,92.0403859362849,"Good","Good","PSS","Flats",-3.31578947368421,"ACAD Sent."
"BIGH",0,554268.178747096,4898327.67895963,2016,5.78378378378378,97.4,0,2.72,91.4102565227121,"Good","Good","PSS","Flats",-3.22222222222222,"ACAD Sent."
"GILM",0,558040.283889221,4912421.92542357,2011,4.5,1.26,0,4.34,58.7333874538506,"Fair","Fair","PEM","Riverine",-4.57692307692308,"ACAD Sent."
"GILM",0,558040.283889221,4912421.92542357,2016,4.69565217391304,2.44,0,4.2,60.2698811986217,"Fair","Fair","PEM","Riverine",-4.91304347826087,"ACAD Sent."
"GILM",0,558040.283889221,4912421.92542357,2021,4.5,8.42,0,56.12,51.8337773259951,"Fair","Poor","PEM","Riverine",-4.5,"ACAD Sent."
"LIHU",0,562725.911048715,4905964.57560063,2021,3.9047619047619,95.6,0,54.82,70.530154759418,"Good","Good","PEM","Riverine",-3.1,"ACAD Sent."
"LIHU",0,562725.911048715,4905964.57560063,2011,4.03846153846154,90.6,0,57.5,69.6362841393546,"Good","Good","PEM","Riverine",-2.68,"ACAD Sent."
"LIHU",0,562725.911048715,4905964.57560063,2016,4.04347826086957,83,0,37.9,71.0357261548991,"Good","Good","PEM","Riverine",-3.72727272727273,"ACAD Sent."
"NEMI",0,560569.036954687,4915580.82176603,2016,5.6,99,0,1.9,90.8107989333867,"Good","Good","PEM","Depression",-4.14285714285714,"ACAD Sent."
"NEMI",0,560569.036954687,4915580.82176603,2021,5.33333333333333,98.4,0,33.26,83.7289235465583,"Good","Good","PEM","Depression",-3.84615384615385,"ACAD Sent."
"NEMI",0,560569.036954687,4915580.82176603,2011,5.44444444444444,93.4,0,3.08,88.2289291851769,"Good","Good","PEM","Depression",-4.30555555555556,"ACAD Sent."
"GRME",0,530760.747662397,4877380.18956815,2021,5.79310344827586,35,0,0.62,75.8732837196188,"Good","Good","PSS","Depression",-3.96551724137931,"ACAD Sent."
"GRME",0,530760.747662397,4877380.18956815,2016,5.86666666666667,86.4,0,0.4,89.3988814063144,"Good","Good","PSS","Depression",-3.83333333333333,"ACAD Sent."
"GRME",0,530760.747662397,4877380.18956815,2011,5.8,53,0,29.5,75.7111351591954,"Good","Good","PSS","Depression",-3.96666666666667,"ACAD Sent."
"HEBR",0,550292.970946484,4902976.88195954,2011,4.58333333333333,85.6,0,48.36,73.2819180094474,"Good","Good","PSS","Riverine",-3.39130434782609,"ACAD Sent."
"HEBR",0,550292.970946484,4902976.88195954,2016,4.72,92.8,0,47.02,76.1855584611034,"Good","Good","PSS","Riverine",-3.70833333333333,"ACAD Sent."
"HEBR",0,550292.970946484,4902976.88195954,2021,4.6,77.6,0,43.52,72.1661604378945,"Good","Good","PSS","Riverine",-3.55172413793103,"ACAD Sent."
"HODG",0,548338.848690306,4908557.26303579,2021,4.75555555555556,98.4,0,81.78,71.9760122946278,"Good","Good","PFO","Slope",-1.40909090909091,"ACAD Sent."
"HODG",0,548338.848690306,4908557.26303579,2016,4.68571428571429,99,0,85,71.1482582706803,"Good","Good","PFO","Slope",-1.85714285714286,"ACAD Sent."
"HODG",0,548338.848690306,4908557.26303579,2011,4.65714285714286,96.8,0,129.62,62.9024368628286,"Good","Fair","PFO","Slope",-1.74285714285714,"ACAD Sent."
"FRAZ",0,574780.133776769,4912541.08859346,2021,5.33333333333333,98,0,75.58,76.5001639818428,"Good","Good","PSS","Depression",-1.96551724137931,"ACAD Sent."
"FRAZ",0,574780.133776769,4912541.08859346,2011,4.96875,95,0,79.66,72.7901373781384,"Good","Good","PSS","Depression",-2.41935483870968,"ACAD Sent."
"FRAZ",0,574780.133776769,4912541.08859346,2016,5.14705882352941,99,0,66.24,77.16754401747,"Good","Good","PSS","Depression",-2.21212121212121,"ACAD Sent."
