"Code","Panel","LAT_DD83","LON_DD83","Year","HGM_Class","site_type","meanC","Bryophyte_Cover","Invasive_Cover","Cover_Tolerant","vmmi","vmmi_rating"
"R-24",3,-68.3101848046471,44.2377851239715,2019,"Depression","ACAD RAM",5.14285714285714,85,0,76,71.9431454410537,"Good"
"R-24",3,-68.3101848046471,44.2377851239715,2024,"Depression","ACAD RAM",5.2,60,0,85,64.424914142454,"Good"
"R-25",3,-68.3486781184179,44.2822432320174,2014,"Depression","ACAD RAM",3.68189655172414,20,0.1,160.4,33.7709224563604,"Poor"
"R-25",3,-68.3486781184179,44.2822432320174,2019,"Depression","ACAD RAM",4.01923076923077,20,0,202.1,35.8949633425321,"Poor"
"R-25",3,-68.3486781184179,44.2822432320174,2024,"Depression","ACAD RAM",4.02222222222222,75,0.1,206.4,49.8655850446441,"Fair"
"R-26",3,-68.2886268792385,44.3255136289642,2014,"Slope","ACAD RAM",4.58064516129032,50,0,69.3,60.6867505490576,"Fair"
"R-26",3,-68.2886268792385,44.3255136289642,2019,"Slope","ACAD RAM",4.5,50,0,112.1,52.9789375504137,"Fair"
"R-26",3,-68.2886268792385,44.3255136289642,2024,"Slope","ACAD RAM",4.50724637681159,62,0.1,123.2,54.1729215987593,"Fair"
"R-27",3,-68.1822930743841,44.3431049060646,2014,"Depression","ACAD RAM",4.04651162790698,10,0,135.1,36.1234440948041,"Poor"
"R-27",3,-68.1822930743841,44.3431049060646,2019,"Depression","ACAD RAM",3.92982456140351,2,0.1,165.1,30.730970738943,"Poor"
"R-27",3,-68.1822930743841,44.3431049060646,2024,"Depression","ACAD RAM",4.03571428571429,12,0.1,173.1,33.9301111338929,"Poor"
"R-28",3,-68.292888312486,44.3799988425785,2014,"Flats","ACAD RAM",5.32352941176471,95,0,55.1,79.1256098512603,"Good"
"R-28",3,-68.292888312486,44.3799988425785,2019,"Flats","ACAD RAM",5.26470588235294,95,0.1,61.1,77.7176417066536,"Good"
"R-28",3,-68.292888312486,44.3799988425785,2024,"Flats","ACAD RAM",5.075,95,0.1,39,80.2634580471838,"Good"
"R-29",3,-68.3798770162158,44.3424218729202,2014,"Slope","ACAD RAM",4.36842105263158,95,0,117.3,62.7297620955152,"Good"
"R-29",3,-68.3798770162158,44.3424218729202,2019,"Slope","ACAD RAM",4.32432432432432,95,0.1,128.1,60.6047265517915,"Fair"
"R-29",3,-68.3798770162158,44.3424218729202,2024,"Slope","ACAD RAM",4.5,95,0,151.4,57.9456863514831,"Fair"
"R-30",3,-68.2369317192564,44.3814933121561,2014,"Slope","ACAD RAM",4.11764705882353,75,0.1,234.3,50.4571359098762,"Fair"
"R-30",3,-68.2369317192564,44.3814933121561,2019,"Slope","ACAD RAM",4.20634920634921,60,0.1,235.3,47.1929374464203,"Fair"
"R-30",3,-68.2369317192564,44.3814933121561,2024,"Slope","ACAD RAM",4.25,70,0.1,250.2,50.006250685733,"Fair"
"R-31",4,-68.2712728020067,44.3637117689864,2015,"Riverine","ACAD RAM",4.26341463414634,10,0,10.2,58.5022738297424,"Fair"
"R-31",4,-68.2712728020067,44.3637117689864,2020,"Riverine","ACAD RAM",4.05405405405405,12,0,3.4,58.858141581183,"Fair"
"R-31",4,-68.2712728020067,44.3637117689864,2025,"Riverine","ACAD RAM",4.08333333333333,16,0,12,58.60842115632,"Fair"
"R-32",4,-68.6352514251375,44.0598234474256,2015,"Depression","ACAD RAM",4.84210526315789,95,0.1,43,78.1460795980971,"Good"
"R-32",4,-68.6352514251375,44.0598234474256,2020,"Depression","ACAD RAM",5.03389830508475,96,0,20,83.4955588087606,"Good"
"R-32",4,-68.6352514251375,44.0598234474256,2025,"Depression","ACAD RAM",4.89655172413793,96,0,14,83.654580567719,"Good"
"R-33",4,-68.2390778660976,44.3863781900929,2015,"Depression","ACAD RAM",4.87096774193548,60,0,0.2,76.6999221527114,"Good"
"R-33",4,-68.2390778660976,44.3863781900929,2020,"Depression","ACAD RAM",4.84375,90,0,2.2,83.7888462144322,"Good"
"R-33",4,-68.2390778660976,44.3863781900929,2025,"Depression","ACAD RAM",4.89189189189189,12,0,10.1,62.9236694972074,"Good"
"R-34",4,-68.1837503659439,44.3438625739126,2015,"Depression","ACAD RAM",3.82352941176471,5,0.1,221.1,30.8348483041503,"Poor"
"R-34",4,-68.1837503659439,44.3438625739126,2020,"Depression","ACAD RAM",3.64705882352941,3,0.1,227.2,29.232341106983,"Poor"
"R-34",4,-68.1837503659439,44.3438625739126,2025,"Depression","ACAD RAM",3.59175,0.1,0.1,165,28.1520868398936,"Poor"
"R-35",4,-68.2950469184111,44.382136867978,2015,"Flats","ACAD RAM",5.38235294117647,95,0,20,85.4014023900526,"Good"
"R-35",4,-68.2950469184111,44.382136867978,2020,"Flats","ACAD RAM",5.47222222222222,95,0,21,85.7901051630561,"Good"
"R-35",4,-68.2950469184111,44.382136867978,2025,"Flats","ACAD RAM",5.52777777777778,98,0,15.1,87.8909261908623,"Good"
"R-36",4,-68.3558484861582,44.2740460972843,2015,"Depression","ACAD RAM",3.92647058823529,20,0.1,191,35.2870684416656,"Poor"
"R-36",4,-68.3558484861582,44.2740460972843,2020,"Depression","ACAD RAM",4.02083333333333,50,0,200,43.533046868724,"Fair"
"R-36",4,-68.3558484861582,44.2740460972843,2025,"Depression","ACAD RAM",3.9575,22,0.1,225.1,35.9879670341358,"Poor"
"R-37",4,-68.2857214250712,44.3231007047084,2015,"Depression","ACAD RAM",3.89566265060241,50,0,230,42.7570976681973,"Fair"
"R-37",4,-68.2857214250712,44.3231007047084,2020,"Depression","ACAD RAM",3.74125,50,0.1,215.1,41.767011159374,"Fair"
"R-37",4,-68.2857214250712,44.3231007047084,2025,"Depression","ACAD RAM",3.9620253164557,40,0.1,185.2,40.5929094691152,"Poor"
"R-38",4,-68.323341276382,44.3201246960462,2015,"Riverine","ACAD RAM",4.37704918032787,70,0,118,56.3085721766701,"Fair"
"R-38",4,-68.323341276382,44.3201246960462,2020,"Riverine","ACAD RAM",4.35526315789474,75,0,110,58.792143882003,"Fair"
"R-38",4,-68.323341276382,44.3201246960462,2025,"Riverine","ACAD RAM",4.2,80,0,113,58.5957802577085,"Fair"
"R-39",4,-68.2648660048043,44.3672358676529,2015,"Depression","ACAD RAM",4.69303797468354,75,0,85,65.0962656971669,"Good"
"R-39",4,-68.2648660048043,44.3672358676529,2020,"Depression","ACAD RAM",4.62365591397849,65,0,86.1,61.9381916800812,"Good"
"R-39",4,-68.2648660048043,44.3672358676529,2025,"Depression","ACAD RAM",4.47684210526316,70,0,104,59.2849202035169,"Fair"
"R-40",4,-68.2138678958752,44.3047398332796,2015,"Riverine","ACAD RAM",4.188,75,0,149.3,51.1368044594486,"Fair"
"R-40",4,-68.2138678958752,44.3047398332796,2020,"Riverine","ACAD RAM",4.05681818181818,80,0.1,205.1,51.351408029426,"Fair"
"R-40",4,-68.2138678958752,44.3047398332796,2025,"Riverine","ACAD RAM",3.94736842105263,87,0,194,52.4856788694503,"Fair"
"GIME03",-1,-68.2710747204677,44.3614687783234,2024,"Depression","ACAD GILM",4.178703704,60,0,59,62.47238739,"Good"
"GIME03",-1,-68.2710747204677,44.3614687783234,2025,"Depression","ACAD GILM",4.012096774,70,0,61.3,63.59494637,"Good"
"GIME07",-1,-68.2714351618667,44.3617501685242,2024,"Depression","ACAD GILM",4.263157895,40,0,47,59.93139897,"Fair"
"GIME07",-1,-68.2714351618667,44.3617501685242,2025,"Depression","ACAD GILM",4.306122449,50,0,38.8,64.12140772,"Good"
"GRME01",-1,-68.2078691636101,44.363883845008,2024,"Riverine","ACAD GRME",4.192307692,30,0,88.2,50.01104342,"Fair"
"GRME01",-1,-68.2078691636101,44.363883845008,2025,"Riverine","ACAD GRME",4.065833333,15,0.1,67.8,48.81560861,"Fair"
"GRME02",-1,-68.2084027556366,44.368992193998,2024,"Depression","ACAD GRME",3.748214286,0,1,86.2,39.63809329,"Poor"
"GRME02",-1,-68.2084027556366,44.368992193998,2025,"Depression","ACAD GRME",3.414242424,0.1,2,163.6,26.42730549,"Poor"
"GRME03",-1,-68.211540817212,44.3661599775609,2024,"Slope","ACAD GRME",3.839215686,15,0.1,115.2,39.42821431,"Poor"
"GRME03",-1,-68.211540817212,44.3661599775609,2025,"Slope","ACAD GRME",3.877192982,25,4,129.2,38.5669974,"Poor"
"GRME04",-1,-68.2104551852359,44.3666296324395,2024,"Depression","ACAD GRME",3.979166667,35,0.1,115.2,45.38122116,"Fair"
"GRME04",-1,-68.2104551852359,44.3666296324395,2025,"Depression","ACAD GRME",3.866666667,65,0.1,152.1,46.35855976,"Fair"
"GRME05",-1,-68.2068255161496,44.3658932545905,2024,"Riverine","ACAD GRME",4.134615385,0,0,15.1,54.33591275,"Fair"
"GRME05",-1,-68.2068255161496,44.3658932545905,2025,"Riverine","ACAD GRME",4.23,0,0,28.4,52.6873814,"Fair"
"GRME06",-1,-68.2091846880126,44.3668459157113,2024,"Depression","ACAD GRME",3.914285714,55,5,145.3,43.38508661,"Fair"
"GRME06",-1,-68.2091846880126,44.3668459157113,2025,"Depression","ACAD GRME",4.028571429,60,5,105.2,52.11809699,"Fair"
"GRME07",-1,-68.2086014674007,44.3635558135196,2024,"Depression","ACAD GRME",4.017857143,60,0.1,103,54.03244281,"Fair"
"GRME07",-1,-68.2086014674007,44.3635558135196,2025,"Depression","ACAD GRME",3.684782609,45,0.1,82.8,51.55544776,"Fair"
"GRME08",-1,-68.2046702526296,44.3665714914146,2024,"Depression","ACAD GRME",3.2071875,0.1,0.1,32.5,45.64892463,"Fair"
"GRME08",-1,-68.2046702526296,44.3665714914146,2025,"Depression","ACAD GRME",3.76627907,0,0.1,45.7,46.86638616,"Fair"
"GRME09",-1,-68.2098064161728,44.3654097530641,2024,"Depression","ACAD GRME",3.788478261,35,3,119.1,42.58931125,"Fair"
"GRME09",-1,-68.2098064161728,44.3654097530641,2025,"Depression","ACAD GRME",3.978723404,17,2,105.7,41.77707553,"Fair"
"GRME10",-1,-68.2061069633001,44.3670586406657,2024,"Riverine","ACAD GRME",4,0,0,77,43.07692927,"Fair"
"GRME10",-1,-68.2061069633001,44.3670586406657,2025,"Riverine","ACAD GRME",4.207894737,0,0,22.3,53.57763979,"Fair"
"DUCK",0,-68.37977,44.31957,2011,"Depression","ACAD Sent.",5.075,98.6,0,26.94,83.242674738704,"Good"
"DUCK",0,-68.37977,44.31957,2016,"Depression","ACAD Sent.",5.45,40,0,14.06,72.836130439428,"Good"
"DUCK",0,-68.37977,44.31957,2021,"Depression","ACAD Sent.",5.25641025641026,48,0,9.22,74.485311503859,"Good"
"WMTN",0,-68.36791,44.28555,2011,"Slope","ACAD Sent.",4.84782608695652,96.4,0,77.38,72.7804647351192,"Good"
"WMTN",0,-68.36791,44.28555,2021,"Slope","ACAD Sent.",4.77083333333333,98.4,0.02,67.12,74.5330186061391,"Good"
"WMTN",0,-68.36791,44.28555,2016,"Slope","ACAD Sent.",4.61224489795918,97.6,0.02,74.98,72.0227973658364,"Good"
"BIGH",0,-68.32042,44.23616,2011,"Flats","ACAD Sent.",5.84848484848485,96.6,0,1.88,91.7493934835136,"Good"
"BIGH",0,-68.32042,44.23616,2021,"Flats","ACAD Sent.",5.87179487179487,97.6,0,2.52,92.0403859362849,"Good"
"BIGH",0,-68.32042,44.23616,2016,"Flats","ACAD Sent.",5.78378378378378,97.4,0,2.72,91.4102565227121,"Good"
"GILM",0,-68.27162,44.36275,2011,"Riverine","ACAD Sent.",4.5,1.26,0,4.34,58.7333874538506,"Fair"
"GILM",0,-68.27162,44.36275,2016,"Riverine","ACAD Sent.",4.69565217391304,2.44,0,4.2,60.2698811986217,"Fair"
"GILM",0,-68.27162,44.36275,2021,"Riverine","ACAD Sent.",4.5,8.42,0,56.12,51.8337773259951,"Fair"
"LIHU",0,-68.2136,44.30423,2021,"Riverine","ACAD Sent.",3.9047619047619,95.6,0,54.82,70.530154759418,"Good"
"LIHU",0,-68.2136,44.30423,2011,"Riverine","ACAD Sent.",4.03846153846154,90.6,0,57.5,69.6362841393546,"Good"
"LIHU",0,-68.2136,44.30423,2016,"Riverine","ACAD Sent.",4.04347826086957,83,0,37.9,71.0357261548991,"Good"
"NEMI",0,-68.23952,44.39098,2016,"Depression","ACAD Sent.",5.6,99,0,1.9,90.8107989333867,"Good"
"NEMI",0,-68.23952,44.39098,2021,"Depression","ACAD Sent.",5.33333333333333,98.4,0,33.26,83.7289235465583,"Good"
"NEMI",0,-68.23952,44.39098,2011,"Depression","ACAD Sent.",5.44444444444444,93.4,0,3.08,88.2289291851769,"Good"
"GRME",0,-68.61601,44.04894,2021,"Depression","ACAD Sent.",5.79310344827586,35,0,0.62,75.8732837196188,"Good"
"GRME",0,-68.61601,44.04894,2016,"Depression","ACAD Sent.",5.86666666666667,86.4,0,0.4,89.3988814063144,"Good"
"GRME",0,-68.61601,44.04894,2011,"Depression","ACAD Sent.",5.8,53,0,29.5,75.7111351591954,"Good"
"HEBR",0,-68.36975,44.2783,2011,"Riverine","ACAD Sent.",4.58333333333333,85.6,0,48.36,73.2819180094474,"Good"
"HEBR",0,-68.36975,44.2783,2016,"Riverine","ACAD Sent.",4.72,92.8,0,47.02,76.1855584611034,"Good"
"HEBR",0,-68.36975,44.2783,2021,"Riverine","ACAD Sent.",4.6,77.6,0,43.52,72.1661604378945,"Good"
"HODG",0,-68.39372,44.32867,2021,"Slope","ACAD Sent.",4.75555555555556,98.4,0,81.78,71.9760122946278,"Good"
"HODG",0,-68.39372,44.32867,2016,"Slope","ACAD Sent.",4.68571428571429,99,0,85,71.1482582706803,"Good"
"HODG",0,-68.39372,44.32867,2011,"Slope","ACAD Sent.",4.65714285714286,96.8,0,129.62,62.9024368628286,"Good"
"FRAZ",0,-68.06155,44.36229,2021,"Depression","ACAD Sent.",5.33333333333333,98,0,75.58,76.5001639818428,"Good"
"FRAZ",0,-68.06155,44.36229,2011,"Depression","ACAD Sent.",4.96875,95,0,79.66,72.7901373781384,"Good"
"FRAZ",0,-68.06155,44.36229,2016,"Depression","ACAD Sent.",5.14705882352941,99,0,66.24,77.16754401747,"Good"
"202741",NA,41.63713648,-73.03024,2016,"Riverine","PROB",4.06153846153846,7.4,0.2,150.6,32.8876189622749,"Poor"
"4693",NA,41.63713648,-73.03024,2011,"Depression","PROB",4.3134328358209,10.42,0,110.94,41.9536062380886,"Fair"
"4354",NA,41.49032243,-71.84760856,2011,"Depression","PROB",4.41379310344828,9,0,71.68,48.8264086319198,"Fair"
"4690",NA,41.64576632,-73.00340323,2011,"Depression","PROB",3.94666666666667,15,1.08,133.26,36.7307394735179,"Poor"
"4688",NA,41.80995145,-73.29738787,2011,"Depression","PROB",3.86666666666667,0.02,1.1,81.28,41.1731221263364,"Poor"
"4685",NA,41.86653201,-73.4976652,2011,"Depression","PROB",3.04225352112676,4.8,68.3,141.04,5.13012485187343,"Poor"
"4684",NA,41.82703547,-72.9162012,2011,"Depression","PROB",4.02197802197802,0.42,0.42,89.64,41.0531981533621,"Poor"
"202742",NA,41.64191489,-73.0325166,2016,"Riverine","PROB",4.34615384615385,0,28,90.2,33.7982035396019,"Poor"
"4683",NA,41.64191489,-73.0325166,2011,"Depression","PROB",4.25423728813559,8.64,12.06,89.82,40.7276007872453,"Poor"
"202001",NA,41.82248797,-72.74348038,2016,"Riverine","PROB",4.02564102564103,9.8,43.8,174.8,18.9472458705,"Poor"
"2015532",NA,41.275969,-72.505595,2021,"Riverine","PROB",4.05660377358491,1.42,68.06,124,13.507341179002,"Poor"
"206313",NA,41.27615211,-72.50580245,2016,"Riverine","PROB",4.42857142857143,29,76,165.8,15.7453310705552,"Poor"
"210510",NA,41.27713313,-72.50688166,2016,"Riverine","PROB",4.15625,10,1.8,44.6,51.4531112513048,"Fair"
"2015688",NA,41.4194428,-73.01396536,2021,"Depression","PROB",3.2289156626506,0.02,19.9,108.38,26.4775718082578,"Poor"
"2015232",NA,41.81476319,-72.23808439,2021,"Slope","PROB",3.39325842696629,2,14.74,132.36,25.6570866087681,"Poor"
"2015591",NA,41.98335869,-72.51008554,2021,"Slope","PROB",3.56578947368421,1.62,30.08,153.32,18.5253653754775,"Poor"
"2015608",NA,41.29109629,-72.606296,2021,"Slope","PROB",4.32142857142857,16,9.92,134.36,36.2179110428629,"Poor"
"202645",NA,41.69066085,-86.71858024,2016,"Riverine","PROB",3.59677419354839,35,30.44,86.58,37.8599951824826,"Poor"
"4722",NA,41.69066085,-86.71858024,2011,"Depression","PROB",4.30769230769231,35,4.26,123.72,44.6158117021328,"Fair"
"202646",NA,41.70866669,-86.69418454,2016,"Depression","PROB",3.15384615384615,0.28,28.32,137.28,18.4442774251389,"Poor"
"4552",NA,41.70866669,-86.69418454,2011,"Depression","PROB",3.45,10.44,28.72,116.8,26.1811359058489,"Poor"
"4720",NA,41.60897451,-86.27730918,2011,"Depression","PROB",2.7887323943662,3.04,10.16,99.78,30.4809600076607,"Poor"
"4758",NA,41.53469288,-85.00992253,2011,"Depression","PROB",2.69736842105263,1.6,1.28,148.32,24.858455025543,"Poor"
"200690",NA,41.21831566,-86.38280115,2016,"Depression","PROB",2.39130434782609,1.44,79.32,96,8.8817300102051,"Poor"
"4792",NA,41.21831566,-86.38280115,2011,"Depression","PROB",2.54838709677419,4,75.08,96.18,9.99693426105244,"Poor"
"2015479",NA,41.43624145,-87.06420526,2021,"Depression","PROB",3.89130434782609,8,0.88,60.3,46.9604529298507,"Fair"
"201052",NA,42.67507644,-71.05507509,2016,"Riverine","PROB",3.9,3,76.6,104.4,13.4375530568739,"Poor"
"4355",NA,42.67507644,-71.05507509,2011,"Depression","PROB",4.21153846153846,0.6,19.64,99.34,34.3243252225101,"Poor"
"4357",NA,41.7988138,-71.1873914,2011,"Riverine","PROB",4.14814814814815,0.04,3.02,35.06,50.0760340475651,"Fair"
"203604",NA,41.7988138,-71.1873914,2016,"Riverine","PROB",4.19354838709677,5,13,101.62,37.1297027864628,"Poor"
"4359",NA,41.96955635,-70.94920514,2011,"Depression","PROB",4.25,0.46,0.06,96.52,41.436564295213,"Poor"
